type,name,hill_group,grid_ref,height
 MUNRO      , Ben Lawers                                                  , The Lawers                                      , NN635414 ,3982
 MUNRO      , Ben Lomond                                                  , Ben Lomond and The Arrochar Alps                , NN367028 ,3195
 MUNRO      , Ben Lui                                                     , Tyndrum                                         , NN266263 ,3707
 MUNRO      , Ben MacDui                                                  , South Cairngorms                                , NN989989 ,4294
 MUNRO      , Ben More [Crianlarich]                                      , Crianlarich                                     , NN432244 ,3851
 MUNRO      , Ben More [Isle of Mull]                                     , The Islands                                     , NM525330 ,3169
 MUNRO      , Ben More Assynt                                             , Assynt and Far North                            , NC318201 ,3274
 MUNRO      , Ben Nevis                                                   , Nevis Range and Grey Corries                    , NN166712 ,4409
 MUNRO      , Ben Oss                                                     , Tyndrum                                         , NN287253 ,3375
 MUNRO      , Ben Starav                                                  , Glen Etive                                      , NN125427 ,3536
 MUNRO      , Ben Vane                                                    , Ben Lomond and The Arrochar Alps                , NN277098 ,3001
 MUNRO      , Ben Vorlich [Loch Earn]                                     , Crieff and Loch Earn                            , NN629189 ,3231
 MUNRO      , Ben Vorlich [Loch Lomond]                                   , Ben Lomond and The Arrochar Alps                , NN295124 ,3093
 MUNRO      , Bidean a' Ghlas Thuill (An Teallach)                        , Dundonnell and Fisherfield                      , NH068843 ,3484
 MUNRO      , Bidean nan Bian                                             , Glencoe                                         , NN143542 ,3772
 MUNRO      , Bidein a' Choire Sheasgaich                                 , Achnashellach and Torridon                      , NH049412 ,3100
 MUNRO      , Binnein Beag                                                , Mamores                                         , NN221677 ,3093
 MUNRO      , Binnein Mor                                                 , Mamores                                         , NN212663 ,3707
 MUNRO      , Bla Bheinn                                                  , The Islands                                     , NG529217 ,3044
 MUNRO      , Braeriach                                                   , North Cairngorms                                , NN953999 ,4251
 MUNRO      , Braigh Coire Chruinn-Bhalgain (Beinn a' Ghlo)               , Tarf and Tilt                                   , NN945724 ,3510
 MUNRO      , Broad Cairn                                                 , Glenshee and Lochnagar                          , NO240815 ,3274
 MUNRO      , Bruach na Frithe                                            , The Islands                                     , NG461252 ,3143
 MUNRO      , Bynack More                                                 , North Cairngorms                                , NJ041063 ,3576
 MUNRO      , Cac Carn Beag (Lochnagar)                                   , Glenshee and Lochnagar                          , NO243861 ,3789
 MUNRO      , Cairn Bannoch                                               , Glenshee and Lochnagar                          , NO222825 ,3320
 MUNRO      , Cairn Gorm                                                  , North Cairngorms                                , NJ005040 ,4081
 MUNRO      , Cairn of Claise                                             , Glenshee and Lochnagar                          , NO185788 ,3490
 MUNRO      , Cairn Toul                                                  , South Cairngorms                                , NN963972 ,4235
